Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue1_elefant.png,ANIMAL,5.628765200002817,7.147146899980726,,,11.648473399982322,13.148425299994415
2,Pictures/Cue2_hammer.png,ANIMAL,14.648878499981947,16.150135100004263,,,20.65101840000716,22.1519910999923
3,Pictures/Cue2_hammer.png,ANIMAL,23.652958799997577,25.153301999991527,,,29.65403669999796,31.155364299978828
4,Pictures/Cue1_elefant.png,TOOL,32.65560899997945,34.15791429998353,,,38.65822719997959,40.15944829999353
5,Pictures/Cue2_hammer.png,ANIMAL,41.66001759999199,43.15958139998838,,,47.662624899996445,49.16124369998579
6,Pictures/Cue2_hammer.png,ANIMAL,50.66163789998973,52.16347499997937,,,56.66442799998913,58.167022099980386
7,Pictures/Cue1_elefant.png,ANIMAL,59.6661705999868,61.167135199997574,,,65.66787410000688,67.16964959999314
8,Pictures/Cue2_hammer.png,ANIMAL,68.66997319998336,70.17075869999826,,,74.67302039999049,76.17244709999068
9,Pictures/Cue1_elefant.png,ANIMAL,77.67403470000136,79.1907640999998,1,81.04108439999982,83.69246890000068,85.19236839999212
10,Pictures/Cue1_elefant.png,TOOL,86.69292010000208,88.19486970000435,0,90.06088069998077,92.69544720000704,94.19571899998118
