Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,PredOnset,PredOffset
1,Pictures/Cue2_cat.png,ANIMAL,5.503647400008049,7.038295800011838,0,8.907668800005922,11.539264100021683,13.039895900001284,8.539299800002482,10.038763900025515
2,Pictures/Cue1_hammer.png,TOOL,14.540032600023551,16.057654100004584,1,18.028029500012053,20.559007500007283,22.060787200025516,17.56014930002857,19.058179500018014
3,Pictures/Cue1_hammer.png,ANIMAL,23.560600600001635,25.078815400018357,1,27.09495080000488,29.579804200009676,31.081131000013556,26.581072500004666,28.078912600001786
4,Pictures/Cue1_hammer.png,TOOL,32.58108480001101,34.09764790002373,,,38.59947980000288,40.10022660001414,35.59937070001615,37.098965500015765
5,Pictures/Cue2_cat.png,TOOL,41.601198100019246,43.11836370002129,,,47.61957170002279,49.1201996000018,44.620192800008226,46.11915100002079
6,Pictures/Cue2_cat.png,ANIMAL,50.621232600009535,52.138769200013485,,,56.639581400027964,58.14010530000087,53.642019400023855,55.13943940002355
7,Pictures/Cue1_hammer.png,TOOL,59.64271010001539,61.15831340002478,,,65.66005800000858,67.16186310001649,62.66024490000564,64.15948160001426
8,Pictures/Cue1_hammer.png,TOOL,68.66165600001113,70.17932910000673,,,74.68057790002786,76.1809744000202,71.6804704000242,73.17953240001225
9,Pictures/Cue1_hammer.png,TOOL,77.68192700002692,79.198996000021,,,83.700619500014,85.20101280001109,80.70011900001555,82.19923070000368
10,Pictures/Cue1_hammer.png,ANIMAL,86.7011543000117,88.21781350002857,,,92.72237020000466,94.22106150002219,89.72184860002017,91.21988190000411
