Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,Prob_cat,PredOnset,PredOffset
1,Pictures/Cue2_cat.png,ANIMAL,5.293578599987086,6.844657999987248,0,8.794420399994124,11.344794900011038,12.846475800004555,Congruent,8.34792689999449,9.844743199995719
2,Pictures/Cue2_cat.png,TOOL,14.346291599998949,15.864338599989424,0,17.69788389999303,20.366044800000964,21.866483899997547,Congruent,17.368040400004247,18.865122199989855
3,Pictures/Cue2_cat.png,ANIMAL,23.36656620001304,24.884874499985017,0,27.384946000005584,29.38642830000026,30.885957399994368,Congruent,26.390247300005285,27.884585099993274
4,Pictures/Cue2_cat.png,ANIMAL,32.3871114999929,33.904144500003895,0,36.40701359999366,38.406104399997275,39.906339200009825,Incongruent,35.40592580000521,36.90489000000525
5,Pictures/Cue1_hammer.png,ANIMAL,41.40759300001082,42.92318909999449,0,44.76001769999857,47.425579900009325,48.926525899994886,Incongruent,44.43019959999947,45.92554029999883
6,Pictures/Cue1_hammer.png,TOOL,50.42792340001324,51.94486459999462,0,53.744943800003966,56.44569860000047,57.947349099995336,Congruent,53.44910070000333,54.94521929998882
7,Pictures/Cue2_cat.png,ANIMAL,59.44739590000245,60.964947900007246,0,63.19858450000174,65.46559790000902,66.96591140000965,Congruent,62.46775370000978,63.96632400000817
8,Pictures/Cue2_cat.png,TOOL,68.46710340000573,69.98407390000648,0,71.75419929999043,74.48601260001305,75.98735350000788,Incongruent,71.48966419999488,72.98574569998891
9,Pictures/Cue2_cat.png,ANIMAL,77.48838150000665,79.0048950999917,,,83.50722269999096,85.00736640000832,Incongruent,80.50694260001183,82.00568070000736
10,Pictures/Cue2_cat.png,ANIMAL,86.50835210000514,88.0251750999887,,,92.52701759999036,94.02647189999698,Incongruent,89.52767969999695,91.02561000001151
