Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,PredOnset,PredOffset,Prob_cat
1,Pictures/Cue1_hammer.png,ANIMAL,5.045560500002466,6.596098600013647,,,11.097802000003867,12.598543900006916,8.097699700010708,9.598531800002092,Incongruent
2,Pictures/Cue1_hammer.png,TOOL,14.099453300004825,15.616689999995288,,,20.11816579999868,21.619347700005164,17.119966700003715,18.617650200001663,Incongruent
3,Pictures/Cue1_hammer.png,TOOL,23.119128599995747,24.63723230001051,,,29.13898899999913,30.639164499996696,26.13996220001718,27.637806500017177,Congruent
4,Pictures/Cue1_hammer.png,TOOL,32.13932030001888,33.65740540000843,,,38.158727400004864,39.65915809999569,35.16028130002087,36.65730130000156,Congruent
5,Pictures/Cue1_hammer.png,TOOL,41.15927130001364,42.67707840001094,,,47.178500300011365,48.67868800001452,44.17818360001547,45.678022300009616,Congruent
6,Pictures/Cue2_cat.png,ANIMAL,50.1797853000171,51.6975259000028,,,56.19928319999599,57.698766000015894,53.19873950001784,54.69780670001637,Congruent
7,Pictures/Cue2_cat.png,TOOL,59.199164000019664,60.716494799999055,,,65.21848179999506,66.7200545000087,62.22263329999987,63.71790960000362,Incongruent
8,Pictures/Cue1_hammer.png,TOOL,68.22056820002035,69.73717920001945,,,74.23870300000999,75.73916769999778,71.24162720001186,72.73819600002025,Incongruent
9,Pictures/Cue1_hammer.png,ANIMAL,77.24118350000936,78.75801019999199,,,83.25977200001944,84.75994410002022,80.25920620001853,81.7582539000141,Congruent
10,Pictures/Cue1_hammer.png,ANIMAL,86.26061540000956,87.77778060000855,,,92.27970909999567,93.7793833000178,89.28090979999979,90.77749520001817,Congruent
