Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,PredOnset,Prob_cat,PredOffset
1,Pictures/Cue2_cat.png,ANIMAL,6.251462899992475,7.8026062999852,,,12.304621699993731,13.804533599992283,9.304864399979124,Incongruent,10.803364899998996
2,Pictures/Cue2_cat.png,ANIMAL,15.30466080000042,16.822801499976777,,,21.325421499990625,22.824401999998372,18.327116899978137,Incongruent,19.82317749998765
3,Pictures/Cue2_cat.png,TOOL,24.325422800000524,25.842265699990094,,,30.343963799998164,31.84564699998009,27.345043799985433,Incongruent,28.84340529999463
4,Pictures/Cue1_hammer.png,ANIMAL,33.34428520000074,34.862776900001336,,,39.36469099999522,40.86377279998851,36.36728359997505,Congruent,37.86360089998925
5,Pictures/Cue2_cat.png,TOOL,42.36503149999771,43.88300249999156,,,48.385302099981345,49.88514239998767,45.38507209997624,Congruent,46.883416199998464
6,Pictures/Cue2_cat.png,TOOL,51.385796999995364,52.90305269998498,,,57.40455129998736,58.90495649998775,54.40357189998031,Incongruent,55.904357299994444
7,Pictures/Cue2_cat.png,ANIMAL,60.406094199977815,61.92287579999538,,,66.42437989998143,67.92512659999193,63.426199099980295,Incongruent,64.92373469998711
8,Pictures/Cue2_cat.png,TOOL,69.425892499974,70.94260979999672,,,75.44344949998776,76.94570889999159,72.44738719999441,Congruent,73.943506599986
9,Pictures/Cue2_cat.png,ANIMAL,78.44542999999248,79.96326249997946,,,84.46514719998231,85.96577640000032,81.46564119998948,Congruent,82.96376009998494
10,Pictures/Cue2_cat.png,ANIMAL,87.4658092999889,88.9833405999816,,,93.48453859999427,94.98567840000032,90.48561499998323,Congruent,91.98359560000245
